Source/Request	Already?	Know? (grade)	POPULAR	Title	APP	Artist	Other Artist	Year	Other year	Duplicate	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
				Both To Each Other (Friends and Lovers)		Gloria Loring & Carl Anderson																	RBF
				Heat Of The Moment	Y	Asia		8				Pop											CRF
				Heatwave (Love Is Like A Heatwave)	Y	Martha and the Vandellas		6															RBF
				Hello, Goodbye	Y	The Beatles		6				Classic Rock											CRF
				Help!	Y	The Beatles		6															CRF
				Helter Skelter	Y	The Beatles		6			60s-70s												BFB
				Her Majesty	Y	The Beatles		6			60s-70s												BFB
				Here Comes The Sun	Y	The Beatles		6			60s-70s												BFB
				Here, There And Everywhere	Y	The Beatles		6			60s-70s												BFB
				Hero	Y	Mariah Carey		9															RBF
				Hey Bulldog	Y	The Beatles		6			60s-70s												BFB
				Hey Hey Hey Hey	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Hey Ho	Y	The Lumineers		1			10s												yes
05/14/16 Fleischman party	X			Hey Jealousy	Y	The Gin Blossoms		9				Alternative/Indie, Rock, Pop											
				Hey Joe	Y	Jimi Hendrix		6				Classic rock, World, Rock, Pop											CRF
05/14/16 Fleischman party	X			Hey Jude	Y	The Beatles		6															
Tuzzy Braddy/Tuz Piano 6/7/16				Hey Soul Sister	Y	Train		0			00s				Etzel								yes
				Thirty Days In The Hole		Humble Pie																	CRF
				It's Gonna Work Out Fine		Ike & Tina Turner																	RBF
				Hey There	Y	Standards		Standards															
				Higher And Higher	Y	Jackie Wilson		6				Country, Pop											RBF
				Higher Ground	Y	Stevie Wonder		1973				Classic soul											RBF
				Lonely Teardrops		Jackie Wilson																	RBF
		B		Hit Me With Your Best Shot	Y	Pat Benatar		8			80s				Brillant								CRF
				I Got The Feelin'		James Brown																	RBF
05/07/16 Irizarry wedding	X	A+		Ho Hey	Y	The Lumineers		0			00s	Rock											LC
				It's A Man's Man's Man's World		James Brown																	RBF
				Living In America		James Brown																	RBF
				I Don't Have The Heart		James Ingram																	RBF
				Hold Me Tight	Y	The Beatles		6			60s-70s												BFB
				Hold My Hand	Y	Hootie and the Blowfish		9				Pop											PRF
				Honesty	Y	Billy Joel		1978				Pop											CRF
				I Get Lonely		Janet																	RBF
				Honey	Y	Mariah Carey		9															RBF
				Honey Don't	Y	The Beatles		6			60s-70s												BFB
				Honey Pie	Y	The Beatles		6			60s-70s												BFB
PRF 3rd only				Honky Cat	Y	Elton John		7															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Hook	Y	Blues Traveler		9			90s												yes
				Hospital Song	Y	Ben Folds Five		9			90s												BF Scores
Tuzzy Braddy/Tuz Piano 6/7/16				Hot and Cold	Y	Katy Perry		2008				Electronica, Pop											yes
				Hot Stuff	Y	Donna Summer		8															PRF
05/07/16 Irizarry wedding	X	A		Hotel California	Y	The Eagles		7			70s	Classic Rock	X										LC
				The Birds And The Bees		Jewel Akens																	RBF
				Hound Dog	Y	Elvis Presley		6															PRF
				Time In A Bottle		Jim Croce																	CRF
				How Do You Keep The Music Playing?	Y	Standards		Standards															
				How Insensitive	Y	Antonio Carlos Jobim		Standards															
				How Little We Know	Y	Frank Sinatra		Standards															
				How Long Has This Been Going On?	Y	Standards		Standards															
				Lookin' Through The Windows		Jody Watley																	RBF
				How Sweet It Is (To Be Loved By You)	Y	James Taylor ^^ Marvin Gaye		1975				Folk	X										RBF
05/14/16 Fleischman party	X			Hungry Heart	Y	Bruce Springsteen		1980				Rock											
				Country Roads 		John Denver																	
				(She's) Some Kind Of Wonderful		John Ellison		1967															CRF
				Hurts So Good	Y	John Mellencamp		1982				Classic rock, Rock											CRF
				Hush	Y	Deep Purple		6															CRF
				I Am The Walrus	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				I Believe In A Thing Called Love	Y	The Darkness		0			00s												yes
				I Call Your Name	Y	The Beatles		6			60s-70s												BFB
				Power To The People		John Lennon with The Plastic Ono Band																	CRF
				I Can Love You Like That	Y	All-4-One ^^ John Michael Montgomery		9			90s			X	Etzel								RBF
				I Can See For Miles	Y	The Who		1967															CRF
				I Can't Get Started	Y	Standards		Standards															
				I Can't Help Myself (Sugar Pie, Honey Bunch)	Y	The Four Tops		1965															RBF
				I Concentrate On You	Y	Standards		Standards															
				I Could Write A Book	Y	Standards		Standards															
				I Didn't Know What Time It Was	Y	Standards		Standards															
				I Don't Want To Be Alone	Y	Billy Joel		8															BJC
				I Don't Want To Spoil The Party	Y	The Beatles		6			60s-70s												BFB
				I Feel Fine	Y	The Beatles		6			60s-70s												BFB
				I Fought The Law	Y	The Clash		7															CRF
				I Get A Kick Out Of You	Y	Frank Sinatra		Standards															
				Point Of Know Return		Kansas																	CRF
PRF 4th only				I Get Around	Y	The Beach Boys		6															PRF
				I Go To Extremes	Y	Billy Joel		9															BJC
				I Got Rhythm	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				Breakaway	Needs Chords	Kelly Clarkson		0			00s												yes
				I Got You (I Feel Good)	Y	James Brown		6															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				I Gotta Feelin'	Y	Black Eyed Peas		1			10s												yes
05/07/16 Irizarry wedding				Bette Davis eyes		Kim Carnes						NO											
				I Had The Craziest Dream	Y	Standards		Standards															
				I Have The Feeling I've Been Here Before	Y	Standards		Standards															
Tuzzy Braddy/Tuz Piano 6/7/16				I Heard it Through the Grapevine	Y	Creedence Clearwater Revival ^^ Marvin Gaye ^^ Gladys Knight and the Pips		6 ^^ 7			60-70												yes
Tuzzy Braddy/Tuz Piano 6/7/16				I Hope You Dance	Y	Lee Ann Womack		0			00s			X	Etzel								yes
				I Just Called To Say I Love You	Y	Stevie Wonder		7															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				I Knew You Were Trouble	Y	Taylor Swift		1			10s												yes
				I Love Paris	Y	Standards		Standards															
				I Love Rock 'N Roll	Y	Joan Jett & The Blackhearts		7															CRF
				I Love You	Y	Standards		Standards															
				I Me Mine	Y	The Beatles		6			60s-70s												BFB
				I Need You	Y	The Beatles		6			60s-70s												BFB
				I Don't Dance		Lee Brice								X	Etzel (07/02/2016)								
				God Bless the USA	Learn	Lee Greenwood		1992				Back pocket 											
				I Only Have Eyes For You	Y	The Flamingoes		7															
				I Saw Her Standing There	Y	The Beatles		6			60s-70s												BFB
05/14/16 Fleischman party	X			I Say A Little Prayer For You	Y	Dionne Warwick		6															
				I Second That Emotion	Y	Smokey Robinson & The Miracles		6															RBF
				I Shot The Sheriff	Y	Bob Marley ^^ Eric Clapton		6															CRF
				I Should Have Known Better	Y	The Beatles		6			60s-70s												BFB
PRF 3rd only				I Still Haven't Found What I'm Looking For	Y	U2		1987															PRF
				Boom Boom (Out Go The Lights)		Little Walter																	RBF
PRF 4th only				(You've Got) Personality		Lloyd Price		1960															
PRF 4th only				I Think We're Alone Now	Y	Tiffany		8															PRF 4th (don't have)
				Love's Theme		Love Unlimited Orchestra																	RBF
				Turn Me Loose		Loverboy																	CRF
				I'll Be Your Shelter (In Time Of Storm)		Luther Ingram																	RBF
				If Loving You Is Wrong I Don't Want To Be Right		Luther Ingram																	RBF
				The Best Things In Life Are Free		Luther Vandross & Janet Jackson																	RBF
				I Wanna Be Your Man	Y	The Beatles		6			60s-70s												BFB
				I Wanna Dance With Somebody	Y	Whitney Houston		1987															PRF 4th (don't have)
PRF 3rd only				I Want to Hold Your Hand	Y	The Beatles		6															PRF
				I Want To Tell You	Y	The Beatles		6			60s-70s												BFB
				I Want You (She's So Heavy)	Y	The Beatles		6			60s-70s												BFB
				I Want You Back	Y	The Jackson 5		1969															RBF
				I Want You To Want Me	Y	Cheap Trick		7															CRF
				I Will	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				I Will Survive	Y	Gloria Gaynor		7			80s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				I Will Wait	Y	Mumford and Sons		1			10s												yes
				I Wish	Y	Stevie Wonder		7															RBF
				I Wish I Were In Love Again	Y	Frank Sinatra		Standards															
				I Don't Wanna Cry		Mariah Carey																	RBF
				Love Takes Time		Mariah Carey																	RBF
				I'd Do Anything For Love (But I Won't Do That)	Y	Meat Loaf		9															PRF
				I'll Be Back	Y	The Beatles		6			60s-70s												BFB
				I'll Be Missing You	Y	Puff Daddy		9															RBF
				I'll Be There	Y	The Jackson 5		1970															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				I'll Be There For You 	Y	The Rembrandts		9			90s	TV											yes
				I'll Cry Instead	Y	The Beatles		6			60s-70s												BFB
				I'll Follow The Sun	Y	The Beatles		6			60s-70s												BFB
				I'll Get You	Y	The Beatles		6			60s-70s												BFB
				Jimmy Mack		Martha & The Vandellas																	RBF
				I'll Make Love To You	Y	Boys II Men		9															RBF
PRF 4th only				(I Never Promised You A) Rose Garden		Martina McBride		2005				Country											PRF
PRF 4th only				A White Sport Coat (And A Pink Carnation)		Marty Robbins		1957															
Tuzzy Braddy/Tuz Piano 6/7/16				I'm A Believer	Y	The Monkees ^^ Neil Diamond		6			60-70												yes
				I'm A Fool To Want You	Y	Frank Sinatra		Standards															
				Mercy, Mercy Me (The Ecology)		Marvin Gaye																	RBF
				I'm A Loser	Y	The Beatles		6			60s-70s												BFB
				I'm Down	Y	The Beatles		6			60s-70s												BFB
				Push		Matchbox 20		9			90s	90s nostalgia 											
				I'm Happy Just To Dance With You	Y	The Beatles		6			60s-70s												BFB
				I'm Looking Through You	Y	The Beatles		6			60s-70s												BFB
				I'm Only Sleeping	Y	The Beatles		6			60s-70s												BFB
				I'm So Excited	Y	The Pointer Sisters		8															RBF
				I'm So Tired	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				I'm Yours	Y	Jason Mraz		0			00s												yes
				I've Got A Feeling	Y	The Beatles		6			60s-70s												BFB
PRF 4th only				Thriller		Michael Jackson																	
				I've Just Seen A Face	Y	The Beatles		6			60s-70s												BFB
				I've Loved These Days	Y	Billy Joel		7															BJC
05/14/16 Fleischman party	X			I’ll Be There For You	Y	The Rembrandts		1995															
05/14/16 Fleischman party	X			I’m Gonna Be (500 Miles)	Y	The Proclaimers		1988					X										
				If I Fell	Y	The Beatles		6			60s-70s												BFB
				The First Night		Monica																	RBF
				If I Needed Someone	Y	The Beatles		6			60s-70s												BFB
				If I Only Had The Words (To Tell You)	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Ignition (Remix)	Y	R Kelly		0			00s												yes
				Inseparable		Natalie Cole																	RBF
				Imagine	Y	John Lennon		7															CRF
				In My Life	Y	The Beatles		6															CRF
				In The Still Of The Nite (I'll Remember)	Y	The Five Satins		6															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Inside Out	Y	Eve 6		9			90s												yes
				Instant Karma	Y	John Lennon		7															CRF
PRF 4th only				Iris	Y	The Goo Goo Dolls		9															
				How You Remind Me	learn	Nickelback		0			00s				Brillant								TO LEARN
				Sister Christian 	LEARN	Night Ranger		8															
Tuzzy Braddy/Tuz Piano 6/7/16				Ironic	Y	Alanis Morisette		9			90s												yes
				Isn't It A Pity	Y	Standards		Standards															
				Isn't She Lovely	Y	Stevie Wonder		7															RBF
				It Ain't Necessarily So	Y	Standards		Standards															
				It Had To Be You	Y	Frank Sinatra		Standards															
				It Never Entered My Mind	Y	Standards		Standards															
				It Was A Very Good Year	Y	Frank Sinatra		Standards															
				Fire		Ohio Players																	RBF
				Love Rollercoaster		Ohio Players																	RBF
				It Won't Be Long	Y	The Beatles		6			60s-70s												BFB
PRF 3rd only				It's All Coming Back to Me Now	Y	Celine Dion		9															PRF
				I've Been Loving You Too Long		Otis Redding																	RBF
				It's All Right With Me	Y	Frank Sinatra		Standards															
				The Happy Song		Otis Redding																	RBF
				It's All Too Much	Y	The Beatles		6			60s-70s												BFB
				Fire And Ice		Pat Benatar																	CRF
				It's De-Lovely	Y	Standards		Standards															
				It's My Party	Y	Leslie Gore		6															PRF
				It's Only Love	Y	The Beatles		6			60s-70s												BFB
				It's Only Rock 'N' Roll (But I Like It)	Y	The Rolling Stones		1974															CRF
				It's Still Rock And Roll To Me	Y	Billy Joel		7															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				It's the End of the World	Y	REM		8			80s												yes
PRF 3rd only				(It's Just) The Way That You Love Me		Paula Abdul		1988															PRF
				Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini	Y	Brian Hyland		6															PRF
				Jack And Diane	Y	John Mellencamp		8					X										CRF
				Jackson Cannery	Y	Ben Folds Five		9			90s												BF Scores
				A Groovy Kind Of Love		Phil Collins		1988															PRF
				Sussudio		Phil Collins																	CRF
PRF 4th only				Jailhouse Rock	Y	Elvis Presley		6															PRF 4th (don't have)
				Brain Damage	Learn!	Pink Floyd		1973				Classic rock, Rock											CRF
				James	Y	Billy Joel		7															BJC
PRF 3rd only				Jessie's Girl	Y	Rick Springfield		8															PRF
				Johnny One Note	Y	Standards		Standards															
				Joy To The World	Y	Three Dog Night		1970															CRF
				Julia	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Just Dance	Y	Lady Gaga		1			10s												yes
				Just One Of Those Things	Y	Frank Sinatra		Standards															
05/07/16 Irizarry wedding		B		Just the Two Of Us	Y	Grover Washington		8				R&B											LS
Tuzzy Braddy/Tuz Piano 6/7/16				Just the Way You Are	Y	Billy Joel		7			60-70												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Just the Way You Are	Y	Bruno Mars		1			10s												yes
				Kansas City	Y	Fats Domino ^^ Wilbert Harrison	Wilbert Harrison	1959															RBF
				Kate  	Y	Ben Folds Five		9			90s												Piano transcription
				Keeping The Faith	Y	Billy Joel		8															BJC
				Just Once		Quincy Jones featuring James Ingram																	RBF
				Killer Queen	Y	Queen		7															CRF
PRF 4th only				Killing Me Softly With His Song	Y	Roberta Flack ^^ The Fugees	Roberta Flack	1972 ^^ 1994															PRF 4th (don't have)
				I Just Want To Celebrate		Rare Earth																	RBF
				King Of Pain	Y	The Police		8															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Kiss	Y	Prince		8			80s												yes
				I Can't Stop Loving You		Ray Charles																	RBF
				Knock On Wood	Y	Otis Redding		6															RBF
				Kokomo	Y	The Beach Boys		8															PRF
				Ridin' The Storm Out		REO Speedwagon																	CRF
				Time For Me To Fly		REO Speedwagon																	CRF
PRF 4th only				La Bamba	Y	Richie Valens		6															PRF 4th (don't have)
				Lady Madonna	Y	The Beatles		6															CRF
				Rock And Roll Hoochie Koo		Rick Derringer																	CRF
				Lady Marmalade	Y	LaBelle		7															RBF
				Landed	Y	Ben Folds		0			00s												Piano transcription
				Last Of The Big Time Spenders	Y	Billy Joel		7															BJC
				Last Train To Clarksville	Y	The Monkees		6															PRF
				Laura	Y	Billy Joel		7															BJC
				The Closer I Get To You		Roberta Flack & Donny Hathaway																	RBF
				Lay Down Sally	Y	Eric Clapton		6															CRF
				Layla	Y	Derek and the Dominoes ^^ Eric Clapton		7					X										CRF
				Leave A Tender Moment Alone	Y	Billy Joel		8															BJC
				Leningrad	Y	Billy Joel		9															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Let Her Cry	Y	Hootie and the Blowfish		9			90s												yes
				Hot Legs		Rod Stewart																	CRF
				Let It Be	Y	The Beatles		6			60s-70s												BFB
				Reason To Believe		Rod Stewart																	CRF
				Tonight's The Night (Gonna Be Alright)		Rod Stewart																	CRF
				You Wear It Well		Rod Stewart																	CRF
				You're In My Heart		Rod Stewart																	CRF
				Young Turks		Rod Stewart																	CRF
				Let's Call The Whole Thing Off	Y	Frank Sinatra		Standards															
				Crying		Roy Orbison		1962				Classic Rock											PRF
				Let's Do It	Y	Standards		Standards															
				Let's Get It On	Y	Marvin Gaye		7															RBF
				Let's Groove	Y	Earth, Wind & Fire		7															RBF
				Let's Hear It For The Boy	Y	Deniece Williams		8															RBF
				I Thank You		Sam & Dave																	RBF
				I'll Come Running Back To You		Sam Cooke																	RBF
				Little Red Rooster		Sam Cooke																	RBF
				Let's Stay Together	Y	Al Green		7															PRF 4th (don't have)
05/14/16 Fleischman party				Levon	Y	Elton John		7														X	PV
PRF 4th only				Adia	LEARN	Sarah McLachlan		9				Pop											PRF 4th (don't have)
				Like A Virgin	Y	Madonna		8															PRF
				Little Child	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Live and Let Die	Y	Paul McCartney		7			70s												yes
				Livin' On A Prayer	Y	Bon Jovi		8					X										CRF
				Long Cool Woman (In A Black Dress)	Y	The Hollies		1971															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Long December	Y	Counting Crows		9			90s												yes
				Long Long Long	Y	The Beatles		6			60s-70s												BFB
				Long Tall Sally	Y	Little Richard ^^ The Beatles		6															RBF
				Los Angelenos	Y	Billy Joel		7															BJC
				Losing Lisa	Y	Ben Folds		0			00s												PV
Tuzzy Braddy/Tuz Piano 6/7/16				Losing my Religion	Y	REM		8			80s												yes
PRF 4th only				Louie, Louie	Y	The Kingsmen		1963															PRF 4th (don't have)
				Love For Sale	Y	Standards		Standards															
				Love Is A Battlefield	Y	Pat Benatar		8															CRF
				The Pusher		Steppenwolf																	CRF
				Love Is A Many Splendored Thing	Y	Standards		Standards															
				Love Me Do	Y	The Beatles		6			60s-70s												BFB
				Love Me Tender	Y	Elvis Presley		6															PRF
05/07/16 Irizarry wedding				Oh Sherrie		Steve Perry		8			80s	NO											
				Stand Back		Stevie Nicks																	CRF
				Leather And Lace		Stevie Nicks with Don Henley																	CRF
				A Place In The Sun		Stevie Wonder		1966															RBF
				Boogie On Reggae Woman		Stevie Wonder																	RBF
				Fingertips (Part 2)		Stevie Wonder																	RBF
				Love Shack	Y	The B-52s		8															PRF
				Love Walked In	Y	Standards		Standards															
				Love You To	Y	The Beatles		6			60s-70s												BFB
				I Was Made To Love Her		Stevie Wonder																	RBF
				Lovely Rita	Y	The Beatles		6			60s-70s												BFB
				If You Really Love Me		Stevie Wonder																	RBF
				Lover, Come Back To Me	Y	Standards		Standards															
				Living For The City		Stevie Wonder																	RBF
				Master Blaster		Stevie Wonder																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Lucky	Y	Jason Mraz ^^ Colbie Caillat		1			10s												yes
				Lucy In The Sky With Diamonds	Y	The Beatles		6			60s-70s												BFB
				Lucy In The Sky With Diamonds	Y	The Beatles		6															CRF
				Lullaby Of Broadway	Y	Standards		Standards															
05/14/16 Fleischman party	X			Maggie Mae	Y	Rod Stewart		7					X										
				Maggie Mae	Y	The Beatles		6			60s-70s												BFB
05/07/16 Irizarry wedding		A		Magic Carpet Ride	Y	Steppenwolf		6				Classic Rock											FB
				Magical Mystery Tour	Y	The Beatles		6			60s-70s												BFB
				If You Love Somebody Set Them Free		Sting																	CRF
				Makin' Plans	Y	Miranda Lambert		0						X	Etzel (07/02/2016)								
				Renegade		Styx																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Margaritaville	Y	Jimmy Buffett		7			60-70												yes
				Marry You 	Y	Bruno Mars		10															
				Martha My Dear	Y	The Beatles		6			60s-70s												BFB
				Matchbox	Y	The Beatles		6			60s-70s												BFB
				Maxwell's Silver Hammer	Y	The Beatles		6			60s-70s												BFB
				Maybe I'm Amazed	Y	Paul McCartney		7															CRF
				Me And Bobby McGee	Y	Janis Joplin		6															CRF
				The Boy From New York City		The Ad Libs																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16				Me and Julio Down By the Schoolyard	Y	Paul Simon		6			60-70												yes
				Mean Mr. Mustard	Y	The Beatles		6			60s-70s												BFB
				Statesboro Blues		The Allman Brothers Band																	CRF
				Straight From The Heart		The Allman Brothers Band																	CRF
				Melissa	Y	The Allman Brothers Band		7															CRF
				We Gotta Get Out Of This Place		The Animals																	CRF
				Mellow Yellow	Y	Donovan		6															CRF
				Windy		The Association																	CRF
				Memory (from CATS)	Y	Cats		8															PRF
				Mess	Y	Ben Folds Five		9			90s												BF Scores
				Message In A Bottle	Y	The Police		1979															CRF
				Miami 2017 (Seen The Lights Go Out On Broadway)	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Michelle	Y	The Beatles		6			60s												yes
				Misery	Y	The Beatles		6			60s-70s												BFB
				Miss You	Y	The Rolling Stones		7															CRF
PRF 3rd only				Missing	Y	Everything But the Girl		9															PRF
				Missing the War	Y	Ben Folds Five		9			90s												BF Scores
				Mission: Impossible Theme	Y	Lalo Schifrin		6				Movie/TV Themes											PRF
				Mississippi Queen	Y	Mountain		7															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Mmmbop	Y	Hanson		9			90s												yes
				Modern Woman	Y	Billy Joel		8															BJC
				Money (That's What I Want)	Y	The Beatles		6															RBF
				Mony, Mony	Y	Billy Idol		8															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				More	Y	Usher		1			10s												yes
				Mother Nature's Son	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Moves Like Jagger	Y	Maroon 5		1			10s												yes
			Y	Movin' Out (Anthony's Song)	Y	Billy Joel		7	7														BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Mr. Jones	Y	Counting Crows		9			90s												yes
				Mr. Moonlight	Y	The Beatles		6			60s-70s												BFB
05/14/16 Fleischman party	X			Mrs. Robinson	Y	Simon and Garfunkel		6															
				Mustang Sally	Y	Wilson Pickett		1966															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				My Best Friend's Girl	Y	The Cars		8			80s												yes
PRF 4th only				My Cherie Amour	Y	Stevie Wonder		7															PRF
				My Funny Valentine	Y	Frank Sinatra		Standards															
				My Generation	Y	The Who		6															CRF
				My Girl	Y	The Temptations		1964					X										RBF
				My Guy	Y	Mary Wells		6															RBF
PRF 4th only				My Heart Will Go On (Love Theme From 'Titanic')	Y	Celine Dion		9				Movie/TV Themes											PRF 4th (don't have)
			Y	My Life	Y	Billy Joel		7															BJC
				My Sweet Lord	Y	George Harrison		7															PRF
				My Way	Y	Frank Sinatra		Standards															RBF
			Y	New York State Of Mind	Y	Billy Joel		7															BJC
05/14/16 Fleischman party	X			New York, New York	Y	Frank Sinatra		Standards					X										
				Nice Work If You Can Get It	Y	Frank Sinatra		Standards															
				Night And Day	Y	Frank Sinatra		Standards															
				Nights In White Satin	Y	The Moody Blues		1967															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Nineteen Seventy Nine (1979)	Y	Smashing Pumpkins		9			90s												yes
				No Particular Place To Go	Y	Chuck Berry		6															RBF
				No Reply	Y	The Beatles		6			60s-70s												BFB
				No Scrubs	Y	TLC		1999															RBF
Tuzzy Braddy/Tuz Piano 6/7/16				No Woman No Cry	Y	Bob Marley ^^ The Fugees		7 ^^ 9			60-70												yes
				Nocturne	Y	Billy Joel		7															BJC
				Norwegian Wood (This Bird Has Flown)	Y	The Beatles		6			60s-70s												BFB
				Not A Second Time	Y	The Beatles		6			60s-70s												BFB
				Not the Same	Y	Ben Folds		0			00s												PV
				Nowhere Man	Y	The Beatles		6			60s-70s												BFB
				Ob-La-Di, Ob-La-Da	Y	The Beatles		6			60s-70s												BFB
				Octopus's Garden	Y	The Beatles		6			60s-70s												BFB
				Of Thee I Sing	Y	Standards		Standards															
				Oh, Lady Be Good	Y	Standards		Standards															
				Oh, Pretty Woman	Y	Roy Orbison		6															PRF
				Oh! Darling	Y	The Beatles		6			60s-70s												BFB
				Old Brown Shoe	Y	The Beatles		6			60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16				Old Time Rock And Roll	Y	Bob Seeger		7			70s				Etzel								yes
				On A Clear Day	Y	Standards		Standards															
				On Bended Knee	Y	Boyz II Men		9			90s	R&B											
				On Broadway	Y	A Chorus Line		7															RBF
				One After 909	Y	The Beatles		6			60s-70s												BFB
				One Angry Dwarf and 200 Solemn Faces	Y	Ben Folds Five		9			90s												BF Scores
				One Fine Day	Y	Carole King ^^ The Chiffons		6															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				One Headlight	Y	The Wallflowers		9			90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16		C		One Of These Nights	Y	The Eagles		7			70s												yes
				One Sweet Day	Y	Boyz II Men ^^ Mariah Carey	Mariah Carey	9															RBF
				Only A Northern Song	Y	The Beatles		6			60s-70s												BFB
			Y	Only The Good Die Young	Y	Billy Joel		7															BJC
				Only Wanna Be With You	Y	Hootie and the Blowfish		9															PRF
Tuzzy Braddy/Tuz Piano 6/7/16				Ordinary People	Y	John Legend		1			10s												yes
				Owner Of A Lonely Heart	Y	Yes		1983															CRF
				Oye Como Va	Y	Santana ^^ Titio Puente		7															CRF
				P.S. I Love You	Y	The Beatles		6			60s-70s												BFB
				Papa Was A Rollin' Stone	Y	The Temptations		1972															RBF
				Paperback Writer	Y	The Beatles		6															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Paradise By the Dashboard Light	Y	Meat Loaf		7			70s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Party Hard	Y	Andrew WK		0			00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Party in the USA	Y	Miley Cyrus		1			10s												yes
05/07/16 Irizarry wedding				Peace	Y	O.A.R		0								X	sib	sib	sib	INTRO NEEDED			LS
Tuzzy Braddy/Tuz Piano 6/7/16				Peaches	Y	The Presidents of the USA		9															yes
				Penny Lane	Y	The Beatles		6															CRF
				Philosophy	Y	Ben Folds Five		9			90s												BF Scores
05/14/16 Fleischman party	X			Piano Man	Y	Billy Joel		7					X										
				Piece Of My Heart	Y	Janis Joplin		6															CRF
				Piggies	Y	The Beatles		6			60s-70s												BFB
				Pink Houses	Y	John Cougar Mellencamp		8															CRF
				Please Mr. Postman	Y	The Marvelettes ^^ The Beatles	The Beatles	1960															RBF
				Please Please Me	Y	The Beatles		6			60s-70s												BFB
				Polythene Pam	Y	The Beatles		6			60s-70s												BFB
				Pour Some Sugar on Me	Y	Def Leppard		8															
PRF 3rd only				Power of Love	Y	Huey Lewis and the News		8															PRF
				Prelude/Angry Young Man	Y	Billy Joel		7															BJC
Tuzzy Braddy/Tuz Piano 6/7/16				Pretty Woman	Y	Roy Orbison		6			60s												yes
Tuzzy Braddy/Tuz Piano 6/7/16				Proud Mary	Y	Creedence Clearwater Revival ^^ Tina Turner		6			60-70												yes
				Put On A Happy Face	Y	Standards		Standards															
		B		R.O.C.K. In The U.S.A.	Y	John Cougar Mellencamp		8			80s				Brillant								CRF
				Radar Love	Y	Golden Earring		7															CRF
				Rain	Y	The Beatles		6			60s-70s												BFB
				Raindrops Keep Fallin' On My Head	Y	Burt Bacharach ^^ Dionne Warwick	Dionne Warwick	6															PRF
				Ramblin' Man	Y	The Allman Brothers Band		7															CRF
				Rebel, Rebel	Y	David Bowie		7															CRF
Tuzzy Braddy/Tuz Piano 6/7/16		C		Reelin' In The Years	Y	Steely Dan		7			70s												yes
				Refugee	Y	Tom Petty and The Heartbreakers		1979															CRF
Tuzzy Braddy/Tuz Piano 6/7/16				Remedy	Y	Jason Mraz		0			00s												yes
				Respect	Y	Aretha Franklin ^^ Otis Redding	Otis Redding	6															RBF
				Revolution	Y	The Beatles		6			60s-70s												BFB
				Rhiannon	Y	Fleetwood Mac		7															CRF
				Roberta	Y	Billy Joel		7															BJC
				Rock And Roll All Nite	Y	Kiss		7															CRF
PRF 3rd only				Rocket Man	Y	Elton John		7															PRF
				Rockin' Robin	Y	The Jackson 5		1972															PRF
				Rockin’ the Suburbs	Y	Ben Folds		0			00s												PV
